Equipos,Puntos
 Real Madrid ,24
 Girona ,22
 Barcelona ,21
 Atlético ,19
 Athletic ,17
 Real Sociedad ,15
 Rayo Vallecano ,13
 Real Betis ,13
 Valencia ,11
 Las Palmas ,11
 Getafe ,10
 Osasuna ,10
 Cádiz ,9
 Sevilla ,8
 Mallorca ,8
 Villarreal ,8
 Deportivo ,8
 Celta ,6
 Granada ,6
 Almería ,3
